Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Height,Weight
24,Slovakia,68,81,Hamburger SV,120914418,306878,Left,3,3.0,4,Normal,Middle,181,72
31,Australia,63,67,Melbourne City FC,101557822,282473,Right,3,4.0,3,Normal,Middle,181,82
28,Argentina,65,68,FC Cincinnati,92382363,256149,Right,3,3.0,4,Normal,Middle,161,59
22,Brazil,71,81,Santos,167340732,324391,Right,4,4.0,2,Normal,Forward,176,73
31,Greece,70,72,Al Fayha,147286744,301302,Left,3,3.0,4,Normal,Middle,191,86
37,Spain,71,64,KAS Eupen,83421646,210747,Right,2,4.0,3,Lean,Middle,178,65
23,Argentina,66,74,Godoy Cruz,111248122,318429,Left,3,4.0,2,Normal,Middle,179,78
26,Brazil,65,72,Atlanta United,114696842,226759,Left,3,2.0,2,Normal,Middle,175,70
29,Spain,71,79,Real Betis Balompié,124719728,324908,Right,3,3.0,3,Lean,Middle,172,69
25,Brazil,58,65,SL Benfica,81491599,181120,Left,3,3.0,3,Lean,Middle,176,71
23,Denmark,63,76,Venezia FC,103550202,314028,Right,4,3.0,2,Normal,Middle,175,64
31,Netherlands,66,74,PSV,97081115,185183,Right,4,5.0,3,Normal,Forward,188,86
27,Argentina,61,62,Vélez Sarsfield,86386821,270800,Right,3,3.0,3,Normal,Back,171,67
29,Equatorial Guinea,56,73,San Jose Earthquakes,97333520,246714,Right,3,3.0,2,Normal,Back,179,70
32,Germany,59,65,Viktoria Köln,108495781,302061,Right,3,2.0,2,Normal,Middle,183,75
23,Uruguay,59,67,FC Barcelona,100313138,279678,Right,3,3.0,3,Normal,Back,192,91
22,Sweden,69,69,Real Sociedad,131406716,306377,Right,3,5.0,3,Stocky,Forward,192,77
26,Brazil,60,66,Al Shabab,106211069,306428,Right,3,3.0,2,Normal,Back,176,75
26,Nigeria,64,71,Beijing Guoan FC,97404279,240365,Right,3,4.0,3,Normal,Forward,178,75
28,Italy,67,58,AC Monza,140407502,389248,Right,3,4.0,3,Normal,Forward,176,72
28,Wales,63,72,Rangers FC,120106752,292685,Right,3,3.0,3,Lean,Back,180,75
31,Tunisia,71,70,Urbs Reggina 1914 ,90043574,243378,Right,3,4.0,4,Normal,Back,175,67
34,Spain,61,71,Real Oviedo,102822941,207008,Right,3,3.0,4,Normal,Middle,181,72
30,Brazil,74,72,RB Bragantino,61133219,233137,Right,2,3.0,3,Normal,Forward,188,83
26,Libya,70,83,SC Braga,143988525,312930,Right,5,2.0,4,Normal,Middle,189,83
28,Sweden,65,77,Watford,127177543,236606,Left,4,3.0,4,Stocky,Back,180,69
21,Austria,66,62,VfL Wolfsburg,87589705,214203,Right,3,4.0,1,Normal,Middle,182,77
29,Poland,62,68,U.C. Sampdoria,108393219,300854,Right,3,3.0,3,Normal,Back,183,77
24,Kosovo,64,64,FC Augsburg,80966311,180273,Left,3,3.0,3,Lean,Middle,182,73
29,Netherlands,68,67,Beşiktaş JK,117708695,305362,Right,5,3.0,3,Normal,Forward,197,84
33,Nigeria,76,65,Stoke City,102593132,260780,Right,3,3.0,3,Normal,Middle,188,86
24,Nigeria,69,72,Hertha BSC,78505015,253725,Right,3,3.0,4,Normal,Middle,174,72
26,Japan,73,76,Grasshopper Club Zürich,99715400,225900,Right,2,3.0,3,Lean,Middle,178,70
22,Netherlands,75,81,Hamburger SV,162891059,393470,Right,4,2.0,5,Normal,Middle,178,78
24,Japan,72,73,Casa Pia,158495048,346849,Left,4,5.0,3,Normal,Middle,174,70
32,Spain,72,67,SD Huesca,103254285,180754,Left,2,3.0,3,Normal,Middle,185,80
24,Germany,63,75,VfB Stuttgart,103878824,226892,Right,4,4.0,4,Lean,Middle,181,70
29,Cameroon,72,80,Olympique Lyonnais,89948852,152241,Right,2,4.0,2,Lean,Back,185,74
27,Italy,73,74,Venezia FC,105586942,237001,Left,3,3.0,3,Normal,Middle,180,69
29,Mali,60,66,Racing Club de Lens,43320412,153675,Left,2,3.0,4,Normal,Back,179,76
30,Algeria,70,65,Beşiktaş JK,95041382,220298,Left,3,3.0,3,Lean,Middle,182,70
20,Germany,62,73,Borussia Dortmund,142532141,332794,Left,4,3.0,3,Normal,Middle,177,75
31,Thailand,64,71,Yokohama F. Marinos,102912317,302626,Left,3,3.0,4,Lean,Back,171,62
21,Portugal,64,61,SL Benfica,80617095,185756,Right,3,4.0,2,Normal,Forward,185,82
28,Italy,76,76,Urbs Reggina 1914 ,157918413,248783,Left,3,3.0,3,Normal,Back,180,75
27,Portugal,70,55,SC Braga,88687651,194015,Left,2,3.0,2,Lean,Middle,174,64
25,Germany,71,74,Philadelphia Union,81662170,214184,Left,2,3.0,4,Normal,Back,182,78
29,Tunisia,67,61,Ettifaq FC,66932133,179726,Right,2,3.0,3,Stocky,Middle,173,78
30,Cameroon,62,68,Liverpool,104401603,310127,Right,2,2.0,3,Lean,Back,194,90
26,Spain,70,80,CD Tenerife,110905608,208333,Left,3,2.0,3,Normal,Middle,178,72
29,Peru,60,64,Club Atlas,124973030,378769,Right,3,3.0,3,Normal,Back,184,79
22,Portugal,72,70,Olympique de Marseille,116080380,197309,Left,3,4.0,2,Lean,Middle,183,75
26,Republic of Ireland,71,76,Shamrock Rovers,139759193,302521,Right,3,3.0,2,Lean,Back,175,73
27,Scotland,73,79,Heart of Midlothian,123244591,243060,Left,2,2.0,3,Normal,Back,178,77
22,Cape Verde Islands,68,70,Fortuna Sittard,116221399,317484,Right,2,3.0,3,Normal,Middle,177,72
26,Argentina,76,88,Austin FC,131029125,225062,Right,3,2.0,3,Normal,Middle,179,79
24,Argentina,65,60,Argentinos Juniors,72345042,195415,Right,2,3.0,2,Stocky,Back,175,72
29,Argentina,70,73,Club Atlético Talleres,148980050,363749,Right,4,2.0,4,Normal,Back,182,78
26,Morocco,55,61,West Ham United,42286491,208468,Left,3,3.0,3,Normal,Back,188,76
25,Spain,68,76,1. FSV Mainz 05,96983434,249609,Left,2,3.0,3,Lean,Back,178,70
22,Ecuador,73,81,Barcelona Sporting Club,107232726,100965,Right,2,2.0,2,Lean,Back,171,64
22,Portugal,78,70,Vitória de Guimarães,128205742,272852,Right,3,3.0,2,Lean,Middle,176,70
27,Spain,84,79,Cádiz CF,170520291,304538,Right,4,3.0,4,Lean,Middle,184,76
29,Bosnia and Herzegovina,68,75,Standard de Liège,87634243,183378,Right,2,3.0,3,Normal,Middle,178,76
19,Iceland,64,72,F.C. København,99371789,249861,Left,4,3.0,4,Lean,Middle,180,72
24,Ghana,59,74,RSC Anderlecht,87543750,211066,Right,3,3.0,3,Lean,Middle,182,72
24,Czech Republic,66,72,SK Slavia Praha,106682711,266523,Right,2,2.0,4,Lean,Back,175,66
20,France,64,76,FC Nantes,77990315,165796,Left,3,2.0,3,Normal,Back,173,67
26,Brazil,65,71,Flamengo,93143889,222424,Right,2,4.0,3,Lean,Back,173,72
26,Norway,64,68,RB Leipzig,74991634,169522,Left,3,4.0,2,Normal,Middle,194,90
31,Brazil,64,72,Beşiktaş JK,95246899,275879,Right,3,4.0,3,Normal,Back,173,68
22,Italy,60,68,AC Monza,116877359,293804,Right,3,4.0,3,Normal,Middle,175,70
23,Portugal,76,74,Celtic,131617113,326133,Right,3,4.0,3,Normal,Back,175,67
34,Argentina,54,70,SL Benfica,61797075,223695,Right,2,3.0,3,Normal,Back,182,78
26,Korea Republic,67,70,Wolverhampton Wanderers,114544133,335270,Right,3,4.0,3,Normal,Back,177,77
29,Germany,72,75,Eintracht Braunschweig,118625520,291588,Right,4,3.0,4,Normal,Middle,184,80
27,Argentina,73,74,Real Betis Balompié,104866403,285437,Right,3,4.0,4,Lean,Middle,185,80
26,Denmark,72,71,Nottingham Forest,86639562,334912,Right,2,3.0,4,Normal,Middle,175,70
36,Sweden,65,77,IFK Göteborg,134893722,229933,Left,3,3.0,2,Normal,Back,181,82
34,Brazil,55,62,Clube Atlético Mineiro,106945607,327036,Right,3,2.0,3,Lean,Middle,178,71
22,Switzerland,71,66,FC Red Bull Salzburg,65392053,207487,Right,2,4.0,3,Normal,Forward,185,85
24,Denmark,73,66,FC Midtjylland,89005243,228853,Left,3,3.0,4,Stocky,Forward,174,69
25,Portugal,70,63,Manchester City,103509482,239110,Right,2,4.0,3,Normal,Back,187,82
22,Uruguay,51,70,Club Nacional de Football,79082499,220918,Right,3,4.0,4,Normal,Middle,171,72
35,Venezuela,58,76,Independiente Petrolero,82605423,291585,Right,3,3.0,3,Lean,Middle,180,80
21,Brazil,72,72,São Paulo,101967944,191380,Right,4,3.0,3,Lean,Back,182,70
34,Spain,68,77,Levante Unión Deportiva,113592060,196653,Right,4,4.0,2,Normal,Middle,190,80
30,Peru,65,64,Al Fateh,108171882,234172,Right,3,4.0,2,Normal,Back,168,61
26,England,80,82,Forest Green Rovers,146338581,309048,Right,2,4.0,4,Lean,Middle,175,78
29,Uruguay,77,69,Club Nacional de Football,106927875,279976,Right,3,3.0,3,Normal,Middle,175,72
32,United States,68,71,New York City FC,109978549,243397,Right,3,3.0,3,Normal,Middle,183,77
25,Argentina,65,65,UD Ibiza,66408644,211291,Left,2,2.0,2,Normal,Back,171,70
29,Denmark,69,70,AEK Athens,91251088,182089,Right,3,3.0,2,Lean,Middle,182,76
25,Spain,77,67,FC Nantes,119919177,343783,Right,3,3.0,3,Lean,Middle,178,66
25,Italy,58,65,Spezia,86971446,273454,Left,4,2.0,3,Normal,Middle,181,74
22,Sweden,71,75,AIK,157399940,344984,Right,4,3.0,4,Lean,Middle,175,70
26,Israel,66,78,Real Valladolid CF,109001788,161888,Right,3,4.0,2,Stocky,Forward,174,79
22,Spain,68,72,Athletic Club de Bilbao,116859158,311880,Right,3,4.0,4,Lean,Middle,188,72
25,Spain,68,57,Villarreal CF,63530198,224296,Left,2,3.0,3,Lean,Back,191,80
26,Czech Republic,71,66,AC Sparta Praha,72597009,215012,Right,2,3.0,3,Lean,Middle,179,64
19,France,66,80,Olympique Lyonnais,106756038,255624,Right,3,3.0,4,Lean,Back,179,74
29,Uruguay,69,81,Club Deportivo Oriente Petrolero,116618707,265793,Right,3,3.0,4,Normal,Middle,175,73
30,Spain,68,57,CD Leganés,58857860,151326,Right,3,3.0,2,Normal,Middle,183,74
23,Japan,61,70,Gil Vicente FC,117704072,347387,Left,3,4.0,3,Normal,Middle,176,68
36,Colombia,68,80,Rayo Vallecano,127430502,271634,Right,4,4.0,3,Normal,Forward,177,72
25,France,59,70,AS Saint-Étienne,94070787,252311,Right,3,3.0,2,Lean,Middle,178,74
24,France,60,76,AS Saint-Étienne,81806628,182486,Right,3,3.0,2,Normal,Middle,178,69
23,Germany,64,70,FC Augsburg,122505861,334280,Right,3,3.0,3,Normal,Forward,186,79
30,France,72,73,Atakaş Hatayspor,101658729,244884,Right,3,3.0,3,Normal,Middle,178,71
25,Germany,58,67,U.C. Sampdoria,84087033,195424,Right,3,4.0,3,Normal,Middle,186,80
24,Australia,66,70,Melbourne Victory,114723870,284996,Right,2,3.0,1,Lean,Middle,169,68
25,Uruguay,70,73,Valencia CF,100780310,161479,Right,3,3.0,4,Stocky,Forward,186,84
27,Denmark,73,73,Toulouse Football Club,103720317,293825,Right,3,3.0,4,Lean,Back,184,73
23,Italy,70,67,Inter,94996791,197284,Left,3,3.0,3,Lean,Back,190,75
26,Brazil,64,70,Altay SK,87141859,149611,Right,3,3.0,3,Normal,Middle,182,74
28,Spain,62,80,Willem II,105962460,280971,Right,3,3.0,2,Normal,Middle,171,70
22,Cape Verde Islands,57,60,KV Oostende,42424700,147888,Right,3,3.0,2,Normal,Middle,174,68
23,New Zealand,67,75,Brøndby IF,116428668,287012,Right,3,4.0,4,Normal,Middle,182,77
32,England,79,83,West Bromwich Albion,138932451,281033,Right,3,2.0,4,Stocky,Middle,180,74
33,China PR,63,67,Shenzhen FC,84321849,265755,Left,3,2.0,2,Normal,Back,178,75
29,Venezuela,67,59,Atlanta United,94335630,295389,Right,2,4.0,3,Stocky,Forward,170,69
24,Switzerland,57,66,Genoa,76396862,170139,Right,4,3.0,3,Normal,Back,183,80
26,Spain,67,80,Málaga CF,92343646,218519,Right,3,3.0,4,Lean,Middle,172,64
21,France,73,67,OGC Nice,123610716,217557,Left,4,3.0,3,Normal,Back,173,65
23,England,74,72,U.C. Sampdoria,102647127,216248,Right,3,3.0,3,Normal,Middle,178,70
37,Colombia,66,69,Deportivo Cali,99886577,192183,Right,3,3.0,3,Normal,Middle,180,87
24,Germany,67,73,VfL Bochum 1848,115869425,242077,Right,2,4.0,2,Stocky,Middle,188,91
37,Argentina,69,83,Club Atlético Banfield,120316140,189662,Right,3,3.0,3,Normal,Middle,174,70
21,Argentina,75,64,Club Atlético Colón,114787880,313763,Right,3,3.0,4,Stocky,Middle,189,83
28,Switzerland,76,80,BSC Young Boys,157009546,315436,Right,4,3.0,3,Lean,Middle,185,77
29,Australia,64,72,Hibernian,69072761,232176,Right,3,3.0,3,Lean,Middle,172,70
27,Brazil,60,66,Barcelona Sporting Club,82905988,246045,Right,3,3.0,3,Lean,Middle,174,73
27,United States,65,74,Seattle Sounders FC,136885414,367656,Right,3,2.0,3,Stocky,Middle,183,85
21,Uruguay,70,73,Cruzeiro,92910128,179854,Right,2,5.0,3,Normal,Middle,172,67
27,Colombia,77,89,Real Sporting de Gijón,162098934,340397,Right,3,3.0,4,Normal,Back,181,74
27,France,69,67,West Ham United,121087468,276868,Right,3,3.0,3,Normal,Back,190,95
30,Brazil,60,68,Club Athletico Paranaense,68997689,189837,Right,3,3.0,3,Normal,Back,185,80
33,Spain,73,71,Panathinaikos FC,130595909,255467,Right,3,3.0,3,Normal,Middle,178,72
23,Romania,67,76,Parma,97776863,246780,Left,3,3.0,3,Lean,Middle,183,82
28,Argentina,69,67,Argentinos Juniors,86134165,223993,Right,3,3.0,4,Stocky,Back,169,66
22,United States,68,75,FC Dallas,118066329,289581,Left,3,3.0,4,Normal,Middle,173,73
35,Argentina,76,78,Boca Juniors,133152738,243024,Right,3,4.0,3,Normal,Middle,183,79
31,Portugal,79,63,Legia Warszawa,100429198,157919,Left,3,2.0,1,Stocky,Middle,174,68
26,Mali,70,77,TSG Hoffenheim,127491492,241286,Right,4,3.0,3,Lean,Middle,175,70
26,Uruguay,62,77,Estudiantes de La Plata,104001685,274055,Right,2,3.0,4,Normal,Middle,171,73
27,Netherlands,67,77,SC Heerenveen,128744562,220652,Right,3,4.0,2,Normal,Middle,177,74
34,Mexico,73,77,LA Galaxy,142478058,312993,Right,3,3.0,4,Normal,Forward,175,73
29,Spain,58,61,CD Leganés,64750018,232149,Right,3,4.0,3,Lean,Middle,181,69
25,Japan,76,75,Royal Antwerp FC,107654049,253818,Left,3,3.0,4,Normal,Back,167,62
27,Kosovo,62,75,Torino F.C.,115541478,269149,Right,5,4.0,3,Normal,Middle,187,78
26,Spain,68,80,Real Oviedo,131420436,264365,Right,3,4.0,2,Lean,Middle,185,80
22,England,72,70,Burnley,89276410,217417,Right,3,4.0,4,Lean,Middle,174,69
28,Argentina,75,77,San Lorenzo de Almagro,176294240,336287,Right,4,4.0,3,Normal,Middle,174,71
30,Equatorial Guinea,74,76,Al Faisaly,118536657,193020,Right,2,3.0,3,Lean,Middle,182,74
22,Brazil,66,68,Flamengo,75426435,238504,Left,2,4.0,3,Normal,Back,172,70
39,Portugal,62,59,FC Porto,46105545,220285,Right,3,3.0,3,Lean,Back,187,79
24,Trinidad and Tobago,65,72,AEK Athens,125419800,344384,Left,4,3.0,3,Stocky,Back,182,78
32,Uruguay,73,69,Club Atlético Peñarol,107735930,269358,Right,3,2.0,3,Normal,Back,183,76
24,France,64,76,AC Ajaccio,92657698,306032,Left,3,3.0,4,Lean,Middle,181,71
21,Austria,66,71,SK Sturm Graz,89404663,167543,Left,3,3.0,2,Normal,Middle,180,72
25,Colombia,66,61,Deportivo Cali,61314732,274272,Left,2,2.0,2,Normal,Back,169,70
21,France,69,74,Wolverhampton Wanderers,97245012,191739,Left,4,3.0,3,Lean,Back,180,70
25,Spain,69,69,Rayo Vallecano,134165746,394344,Right,4,4.0,3,Lean,Middle,184,75
26,Venezuela,75,72,Deportivo La Guaira FC,101564408,186283,Left,4,3.0,4,Normal,Middle,176,70
26,Italy,70,69,Spezia,77160755,257947,Left,2,3.0,3,Normal,Middle,168,64
29,Italy,66,78,Ternana,95565366,222841,Left,4,2.0,3,Normal,Back,183,80
23,Congo DR,64,72,VfB Stuttgart,121175363,299882,Right,3,2.0,3,Normal,Middle,189,82
24,Japan,68,67,Sport-Club Freiburg,98190796,216432,Left,2,3.0,3,Normal,Middle,172,70
35,Brazil,66,72,Jiangsu FC,100409369,225662,Right,3,3.0,3,Normal,Back,186,80
33,China PR,75,74,Shanghai Port FC,123534416,293634,Right,3,3.0,2,Normal,Back,185,80
25,Ecuador,87,81,Mazatlán Futbol Club,145211744,276719,Right,3,4.0,4,Normal,Middle,172,70
25,Spain,70,70,Leeds United,92130439,190957,Left,2,3.0,3,Lean,Middle,184,77
26,Morocco,65,64,Al Ain FC,89330462,259281,Right,2,4.0,2,Normal,Middle,181,76
25,Morocco,75,58,Sevilla FC,95770848,320698,Left,4,3.0,4,Lean,Forward,188,78
30,Ghana,58,60,Reading,75321768,276364,Right,3,3.0,3,Normal,Back,180,75
27,Slovenia,65,70,Aytemiz Alanyaspor,160472992,381486,Left,3,3.0,2,Normal,Back,185,74
22,Mexico,64,65,Chicago Fire Football Club,66754652,176281,Right,3,3.0,3,Normal,Middle,170,71
28,France,67,78,RC Strasbourg Alsace,142579656,321195,Left,4,3.0,3,Normal,Forward,197,92
33,Czech Republic,68,76,FC Viktoria Plzeň,125970984,312167,Right,4,4.0,4,Stocky,Middle,171,71
27,France,76,76,AS Saint-Étienne,151779544,347482,Left,3,3.0,3,Normal,Middle,181,72
31,Paraguay,74,73,Argentinos Juniors,112317765,203888,Right,3,4.0,3,Normal,Forward,188,91
31,Spain,67,74,Deportivo Alavés,145903607,336492,Right,3,3.0,4,Normal,Back,176,75
28,Chile,77,81,Montevideo Wanderers,119374079,206704,Right,4,3.0,3,Stocky,Middle,168,65
25,Germany,67,77,1. FC Saarbrücken,100846732,310200,Left,4,3.0,4,Normal,Middle,174,72
33,Colombia,71,68,Alianza Petrolera,105623415,177652,Right,4,3.0,2,Normal,Middle,176,73
21,Chile,68,75,Unión Española,118428061,255622,Right,2,3.0,4,Normal,Middle,169,73
27,Spain,67,65,Valencia CF,110177575,298417,Left,3,2.0,4,Lean,Middle,182,67
34,France,67,79,Borussia Dortmund,112153784,243542,Right,4,4.0,4,Normal,Forward,187,84
22,Netherlands,66,66,PSV,65665461,170076,Right,3,3.0,3,Normal,Back,183,68
26,Morocco,79,81,AJ Auxerre,112806174,225445,Right,3,3.0,3,Lean,Middle,176,72
27,Spain,58,69,Real Valladolid CF,62223382,251684,Right,2,4.0,2,Lean,Middle,173,63
30,Brazil,63,67,Olympiacos CFP,77666473,236439,Right,3,3.0,3,Normal,Forward,187,82
26,Morocco,68,82,ATK Mohun Bagan FC,102052785,191349,Right,4,3.0,4,Normal,Middle,173,72
22,Italy,61,69,Juventus,77249089,288103,Right,1,3.0,3,Normal,Back,182,72
27,Brazil,56,74,Suwon FC,105838341,245298,Right,3,3.0,4,Lean,Middle,177,76
31,Liechtenstein,64,67,Ascoli,113672242,328170,Left,2,3.0,3,Normal,Middle,175,71
23,Chile,76,75,Blackburn Rovers,101592708,205431,Right,4,3.0,3,Normal,Middle,188,75
34,Japan,75,77,FC Tokyo,117298004,226991,Right,3,3.0,3,Normal,Back,183,79
26,England,62,66,Oxford United,82680158,271488,Right,3,3.0,3,Normal,Middle,180,71
22,Norway,78,78,Feyenoord,128396336,278150,Right,4,4.0,4,Lean,Back,183,76
32,Denmark,82,76,FC Midtjylland,143898413,255443,Right,4,3.0,4,Normal,Back,192,81
30,Netherlands,69,78,Karlsruher SC,113970386,288690,Right,3,2.0,3,Lean,Back,183,72
21,Belgium,71,76,KVC Westerlo,122630203,280578,Left,4,3.0,3,Lean,Back,183,72
34,Netherlands,63,67,Feyenoord,113754882,332284,Left,3,3.0,3,Normal,Middle,187,71
25,Bolivia,62,67,Club Deportivo Oriente Petrolero,119556670,302347,Right,3,3.0,3,Lean,Middle,175,70
32,Morocco,73,67,Al Fateh,92689496,273813,Left,2,5.0,3,Normal,Back,184,77
22,Argentina,64,81,Argentinos Juniors,149579921,398950,Right,4,3.0,4,Stocky,Middle,175,70
23,Canada,62,75,Club de Foot Montréal,94092715,283404,Right,3,2.0,2,Lean,Middle,180,77
28,Brazil,74,70,Bahia,108034969,254991,Left,1,3.0,2,Normal,Middle,179,75
33,Spain,66,73,SD Huesca,84678742,226114,Left,2,3.0,3,Lean,Middle,184,75
26,Wales,75,74,Burnley,77151567,158238,Right,2,4.0,3,Normal,Back,175,76
31,England,70,68,Portsmouth,124852524,339872,Right,2,3.0,4,Normal,Middle,188,76
24,England,71,75,AC Milan,134234376,328425,Right,3,4.0,3,Normal,Back,185,79
31,Japan,64,71,Urawa Red Diamonds,79956170,211954,Right,2,2.0,3,Normal,Back,185,78
22,Brazil,80,78,Eintracht Frankfurt,128668249,298139,Right,3,2.0,3,Normal,Back,185,81
21,Republic of Ireland,68,82,Derby County,147120196,287776,Right,3,3.0,3,Lean,Back,176,72
23,Germany,61,70,1. FC Nürnberg,89388987,264195,Right,3,3.0,3,Normal,Middle,174,77
30,Brazil,60,76,Flamengo,85560080,212309,Right,3,3.0,3,Normal,Forward,184,79
22,Spain,74,73,Rayo Vallecano,151439080,318927,Left,3,3.0,4,Normal,Back,167,69
24,Argentina,64,73,Tottenham Hotspur,74580557,189855,Right,3,2.0,3,Normal,Back,185,79
28,Brazil,72,75,Ponte Preta,106894565,237956,Right,3,3.0,4,Lean,Middle,180,74
27,England,70,76,Plymouth Argyle,115199346,189949,Left,4,3.0,2,Normal,Back,184,76
30,Netherlands,57,60,Inter,10845633,85576,Right,3,3.0,2,Stocky,Back,189,78
25,England,70,75,Port Vale,124223638,296026,Right,3,2.0,2,Normal,Middle,183,74
27,England,65,77,Preston North End,123510549,340878,Right,3,2.0,3,Normal,Back,188,81
21,Georgia,68,68,Napoli,99153351,279613,Right,3,5.0,3,Normal,Back,183,70
28,Brazil,66,77,Casa Pia,117248733,275217,Left,3,3.0,3,Normal,Back,173,63
21,Spain,64,73,Parma,141063734,352355,Left,4,3.0,4,Normal,Middle,175,68
26,Brazil,57,65,Santos Laguna,74214021,248595,Left,3,3.0,3,Normal,Back,188,82
22,Argentina,66,74,Unión de Santa Fe,103492229,264509,Right,3,4.0,3,Normal,Middle,182,75
26,Italy,67,71,US Salernitana 1919,119655929,270041,Right,4,3.0,4,Normal,Middle,180,74
31,England,69,71,Brighton & Hove Albion,79064841,140859,Right,3,3.0,3,Normal,Forward,185,73
27,Mali,67,76,Montpellier Hérault SC,139204535,335232,Right,3,3.0,3,Lean,Back,179,68
27,Cameroon,76,72,BSC Young Boys,130423072,273077,Right,3,3.0,2,Normal,Middle,181,74
26,Germany,76,70,SV Sandhausen,124033891,224569,Right,3,3.0,3,Normal,Middle,183,74
22,Norway,73,79,AZ Alkmaar,142229095,323555,Left,3,2.0,4,Lean,Back,178,68
24,Italy,69,68,Bari,81189135,202452,Right,3,3.0,3,Normal,Middle,185,80
25,Brazil,67,73,Juventus,131488839,279552,Right,4,2.0,3,Normal,Back,188,82
22,Germany,60,72,1. FC Nürnberg,116260753,323455,Left,2,2.0,2,Normal,Middle,178,72
27,Paraguay,74,60,Club Cerro Porteño,76039607,231987,Right,2,3.0,3,Normal,Middle,168,70
23,Japan,73,70,VfB Stuttgart,147357133,343614,Left,4,3.0,3,Lean,Back,188,84
22,Sweden,68,80,Djurgårdens IF,136320823,300017,Right,3,3.0,4,Normal,Middle,177,74
23,Brazil,65,74,Shakhtar Donetsk,79999323,151598,Left,2,3.0,2,Lean,Middle,171,65
26,Argentina,60,78,Defensa y Justicia,88017554,234551,Right,3,5.0,3,Normal,Forward,165,66
27,Philippines,63,69,VfL Bochum 1848,84572253,191223,Left,4,2.0,3,Normal,Back,185,77
21,Portugal,63,64,Unión Deportiva Almería,53204709,109411,Left,3,2.0,2,Lean,Middle,183,75
23,Senegal,64,70,US Salernitana 1919,52831943,169271,Right,3,3.0,3,Lean,Middle,183,79
19,France,68,67,Toulouse Football Club,132432066,375742,Right,3,3.0,3,Normal,Middle,183,79
24,England,69,75,Reading,123997816,297058,Right,3,3.0,4,Lean,Middle,188,74
30,Argentina,70,73,AEK Athens,100565441,212608,Right,3,5.0,3,Normal,Forward,180,76
32,Spain,77,72,Girona FC,79165537,189349,Right,3,3.0,3,Normal,Back,183,81
35,Uruguay,69,68,Club Atlético Aldosivi,102033919,238037,Right,4,3.0,3,Normal,Forward,180,76
21,Mexico,68,83,Cruz Azul,99542724,251753,Right,3,3.0,5,Normal,Middle,170,70
26,United States,62,60,Sunderland,71860690,273793,Right,3,4.0,3,Stocky,Middle,173,69
23,Burundi,56,73,İstanbul Başakşehir FK,95865587,296168,Right,4,3.0,3,Stocky,Back,183,79
19,Netherlands,71,62,Ajax,54507369,160844,Right,2,5.0,3,Normal,Back,179,68
26,Colombia,68,72,Boca Juniors,116741278,312543,Right,2,3.0,4,Lean,Back,179,71
22,Uruguay,70,59,Club Atlético Peñarol,103805396,279380,Right,3,4.0,3,Lean,Middle,175,72
31,United Arab Emirates,76,68,Al Ain FC,96311187,228102,Right,3,2.0,3,Lean,Back,170,60
37,Spain,70,78,Levante Unión Deportiva,117049847,234765,Right,4,4.0,3,Normal,Forward,180,74
32,Italy,67,75,Frosinone,126227871,323315,Left,3,4.0,3,Normal,Forward,176,73
26,Japan,77,73,Yokohama F. Marinos,148427587,265773,Left,3,3.0,4,Normal,Back,173,73
37,Germany,73,76,Górnik Zabrze,139547499,309640,Left,3,3.0,4,Normal,Forward,183,88
30,Congo DR,69,62,Fulham,86682942,212688,Right,3,3.0,2,Normal,Middle,170,65
32,Uruguay,74,75,Club Alianza Lima,128453669,269661,Right,4,4.0,4,Normal,Middle,172,70
27,Kosovo,62,71,FC St. Pauli,75635091,255210,Left,3,3.0,3,Lean,Back,184,76
23,Morocco,83,67,Nîmes Olympique,168078919,354482,Left,3,3.0,3,Lean,Middle,170,68
24,United States,78,78,Fulham,170569202,421540,Left,4,3.0,4,Normal,Back,183,70
30,Honduras,79,78,Club de Foot Montréal,153104580,279339,Right,3,4.0,4,Normal,Forward,178,69
31,United States,67,71,GIF Sundsvall,117162967,237690,Right,3,3.0,3,Normal,Middle,178,72
30,Netherlands,69,71,Brighton & Hove Albion,84753500,215818,Right,3,4.0,3,Normal,Back,184,75
26,Colombia,59,66,KRC Genk,60655778,232471,Right,2,3.0,4,Normal,Back,181,73
31,Brazil,63,75,FC Tokyo,124582753,292223,Right,3,5.0,4,Stocky,Forward,179,80
35,Scotland,61,77,Dundee FC,114179179,281971,Left,3,3.0,3,Stocky,Middle,185,83
27,Japan,83,77,Kawasaki Frontale,162934798,368360,Right,3,4.0,4,Normal,Back,178,72
31,Switzerland,65,69,FC Basel 1893,67401250,161267,Right,2,4.0,3,Normal,Back,185,79
20,Belgium,70,69,KAA Gent,77010508,192762,Right,3,3.0,3,Normal,Middle,180,70
26,Benin,65,68,Pau FC,109516459,259769,Right,3,2.0,3,Normal,Middle,178,78
27,Uruguay,65,60,FC Cartagena,71165092,172616,Left,4,2.0,3,Normal,Back,185,74
25,England,69,61,Southampton,77295654,265925,Right,2,4.0,4,Lean,Back,174,64
26,France,65,64,SV Zulte Waregem,94007127,250804,Right,3,3.0,3,Lean,Middle,172,69
32,Brazil,79,84,Henan Songshan Longmen FC,126905425,201640,Left,4,3.0,3,Normal,Forward,186,80
